Date,Hour,5minLoadAverage[QL],User Utilization[%],System Utilization[%],Idle[%],Idle True[%],Number of CPUs
2026-01-01,0,4.4,19.73,6.59,73.68,72.27,16
2026-01-01,0,1.78,18.06,-7.27,89.21,88.24,16
2026-01-01,0,1.65,9.79,2.25,87.96,86.88,16
2026-01-01,0,2.37,17.63,-4.82,87.19,87.0,16
2026-01-01,0,1.82,16.67,-6.13,89.46,88.06,16
2026-01-01,0,2.5,18.6,-0.21,81.61,80.89,16
2026-01-01,0,4.37,12.03,14.64,73.33,72.54,16
2026-01-01,1,3.98,10.52,11.55,77.93,77.55,16
2026-01-01,1,1.21,18.42,-10.72,92.3,91.24,16
2026-01-01,1,4.58,10.65,15.37,73.98,73.78,16
2026-01-01,1,1.43,16.22,-7.22,91.0,89.68,16
2026-01-01,1,3.44,15.13,8.89,75.98,75.13,16
2026-01-01,1,2.97,4.37,17.23,78.4,78.23,16
2026-01-01,1,3.16,6.64,13.78,79.58,78.23,16
2026-01-01,2,3.94,4.06,17.67,78.27,77.43,16
2026-01-01,2,2.62,19.08,1.18,79.74,79.37,16
2026-01-01,2,1.5,11.11,-3.13,92.02,91.24,16
2026-01-01,2,4.09,18.16,4.37,77.47,76.52,16
2026-01-01,2,3.07,16.6,-0.06,83.46,83.02,16
2026-01-01,2,2.72,11.26,6.53,82.21,81.01,16
2026-01-01,2,2.41,15.31,-2.03,86.72,86.37,16
2026-01-01,3,1.3,12.08,-5.07,92.99,92.95,16
2026-01-01,3,2.36,4.43,10.77,84.8,84.23,16
2026-01-01,3,1.24,7.42,0.91,91.67,90.17,16
2026-01-01,3,2.72,17.95,0.68,81.37,80.29,16
2026-01-01,3,0.98,17.19,-10.97,93.78,92.7,16
2026-01-01,3,1.6,19.18,-7.91,88.73,87.05,16
2026-01-01,3,3.68,3.68,24.6,71.72,71.66,16
2026-01-01,4,3.41,13.56,10.26,76.18,75.94,16
2026-01-01,4,2.86,19.11,-0.95,81.84,80.39,16
2026-01-01,4,4.47,13.3,10.29,76.41,75.45,16
2026-01-01,4,1.78,5.78,6.26,87.96,87.57,16
2026-01-01,4,2.89,12.79,2.74,84.47,84.35,16
2026-01-01,4,3.42,6.37,14.25,79.38,79.29,16
2026-01-01,4,1.36,14.85,-5.61,90.76,89.39,16
2026-01-01,5,2.12,16.54,-3.65,87.11,86.77,16
2026-01-01,5,3.84,14.25,14.72,71.03,70.37,16
2026-01-01,5,2.2,10.14,3.67,86.19,84.49,16
2026-01-01,5,3.02,18.16,1.0,80.84,79.81,16
2026-01-01,5,4.44,11.87,14.31,73.82,72.6,16
2026-01-01,5,2.3,16.17,-1.57,85.4,85.26,16
2026-01-01,5,1.35,8.48,0.88,90.64,89.9,16
2026-01-01,6,1.17,10.66,-4.03,93.37,92.02,16
2026-01-01,6,2.51,8.72,7.03,84.25,83.69,16
2026-01-01,6,3.16,9.03,12.84,78.13,77.33,16
2026-01-01,6,3.76,17.96,5.05,76.99,76.37,16
2026-01-01,6,2.63,7.1,9.98,82.92,81.58,16
2026-01-01,6,2.8,11.09,5.03,83.88,82.61,16
2026-01-01,6,2.89,8.0,10.8,81.2,79.6,16
2026-01-01,7,3.91,9.27,14.65,76.08,75.57,16
2026-01-01,7,3.22,12.36,9.05,78.59,78.58,16
2026-01-01,7,3.25,6.92,11.74,81.34,80.21,16
2026-01-01,7,3.81,19.16,2.95,77.89,77.49,16
2026-01-01,7,4.18,7.7,17.51,74.79,74.4,16
2026-01-01,7,1.99,19.67,-8.68,89.01,88.29,16
2026-01-01,7,3.92,8.14,14.45,77.41,76.42,16
2026-01-01,8,3.94,3.93,22.91,73.16,71.76,16
2026-01-01,8,0.86,15.8,-9.4,93.6,92.92,16
2026-01-01,8,4.45,11.14,18.55,70.31,69.3,16
2026-01-01,8,0.79,17.65,-11.79,94.14,92.73,16
2026-01-01,8,4.88,12.81,15.56,71.63,70.9,16
2026-01-01,8,3.5,19.14,7.07,73.79,73.51,16
2026-01-01,8,3.95,10.07,13.73,76.2,75.53,16
2026-01-01,9,2.71,9.47,5.07,85.46,85.08,16
2026-01-01,9,3.71,10.29,12.28,77.43,76.79,16
2026-01-01,9,5.04,4.69,23.8,71.51,71.45,16
2026-01-01,9,2.06,4.38,9.98,85.64,84.38,16
2026-01-01,9,2.79,9.94,6.26,83.8,82.39,16
2026-01-01,9,2.67,7.9,10.35,81.75,80.17,16
2026-01-01,9,1.23,6.97,1.54,91.49,89.79,16
2026-01-01,10,1.44,16.67,-6.45,89.78,89.04,16
2026-01-01,10,3.93,5.53,21.6,72.87,71.74,16
2026-01-01,10,4.39,16.47,9.97,73.56,72.18,16
2026-01-01,10,1.48,10.47,-1.08,90.61,90.47,16
2026-01-01,10,3.64,7.63,14.77,77.6,76.67,16
2026-01-01,10,3.34,18.12,0.94,80.94,80.29,16
2026-01-01,11,2.55,6.89,8.02,85.09,83.43,16
2026-01-01,11,1.5,3.35,5.14,91.51,90.75,16
2026-01-01,11,1.32,15.97,-6.51,90.54,89.77,16
2026-01-01,11,3.27,7.73,9.3,82.97,82.04,16
2026-01-01,11,3.02,19.47,-0.37,80.9,80.6,16
2026-01-01,11,2.74,4.78,15.01,80.21,79.12,16
2026-01-01,11,3.03,14.26,5.45,80.29,79.48,16
2026-01-01,12,1.58,4.5,6.49,89.01,87.3,16
2026-01-01,12,4.9,17.7,9.4,72.9,72.57,16
2026-01-01,12,3.94,10.85,19.12,70.03,69.85,16
2026-01-01,12,2.66,11.47,5.57,82.96,82.33,16
2026-01-01,12,4.2,5.23,23.48,71.29,70.24,16
2026-01-01,12,1.34,3.49,4.49,92.02,91.07,16
2026-01-01,12,1.29,8.28,1.74,89.98,89.46,16
2026-01-01,13,2.68,17.3,2.5,80.2,78.96,16
2026-01-01,13,1.19,5.62,0.7,93.68,93.02,16
2026-01-01,13,3.61,10.06,12.64,77.3,76.84,16
2026-01-01,13,2.55,5.46,12.73,81.81,80.92,16
2026-01-01,13,1.99,5.32,9.7,84.98,84.55,16
2026-01-01,13,1.91,8.78,1.9,89.32,89.06,16
2026-01-01,13,4.23,15.34,7.98,76.68,75.15,16
2026-01-01,14,2.43,17.71,-2.21,84.5,83.93,16
2026-01-01,14,2.72,15.97,1.92,82.11,81.01,16
2026-01-01,14,0.96,19.67,-12.99,93.32,93.08,16
2026-01-01,14,3.03,9.98,10.45,79.57,79.34,16
2026-01-01,14,3.48,9.48,8.7,81.82,81.68,16
2026-01-01,14,1.93,5.59,4.6,89.81,89.18,16
2026-01-01,14,3.61,8.64,18.2,73.16,73.11,16
2026-01-01,15,1.14,18.48,-9.61,91.13,89.49,16
2026-01-01,15,3.51,19.49,6.91,73.6,73.41,16
2026-01-01,15,1.6,13.6,-3.14,89.54,88.22,16
2026-01-01,15,4.54,14.46,13.53,72.01,71.04,16
2026-01-01,15,0.98,18.09,-11.94,93.85,93.15,16
2026-01-01,15,2.83,6.99,9.48,83.53,82.89,16
2026-01-01,15,4.35,4.54,18.28,77.18,75.99,16
2026-01-01,16,1.52,4.71,6.28,89.01,88.48,16
2026-01-01,16,2.96,8.51,14.0,77.49,75.99,16
2026-01-01,16,3.25,7.15,13.89,78.96,78.06,16
2026-01-01,16,2.16,5.98,6.97,87.05,85.62,16
2026-01-01,16,3.38,11.46,8.98,79.56,79.06,16
2026-01-01,16,4.13,10.81,13.39,75.8,75.25,16
2026-01-01,16,1.23,7.89,-0.36,92.47,91.48,16
2026-01-01,17,4.14,19.79,8.36,71.85,71.77,16
2026-01-01,17,0.88,10.77,-4.82,94.05,93.47,16
2026-01-01,17,0.77,4.81,0.21,94.98,94.7,16
2026-01-01,17,2.72,14.89,6.14,78.97,77.86,16
2026-01-01,17,1.7,3.14,6.11,90.75,89.65,16
2026-01-01,17,1.85,18.48,-7.94,89.46,89.41,16
2026-01-01,17,1.31,16.19,-7.01,90.82,90.64,16
2026-01-01,18,1.43,6.23,3.72,90.05,88.64,16
2026-01-01,18,1.52,14.57,-3.46,88.89,88.48,16
2026-01-01,18,4.92,3.67,23.9,72.43,71.89,16
2026-01-01,18,5.43,5.23,23.94,70.83,69.93,16
2026-01-01,18,3.89,6.41,15.42,78.17,77.26,16
2026-01-01,18,1.18,11.53,-3.44,91.91,90.74,16
2026-01-01,18,4.92,19.05,6.84,74.11,73.98,16
2026-01-01,19,3.57,16.67,5.95,77.38,77.18,16
2026-01-01,19,4.82,6.84,21.28,71.88,71.53,16
2026-01-01,19,2.15,17.38,-4.24,86.86,85.81,16
2026-01-01,19,3.77,7.5,20.24,72.26,71.39,16
2026-01-01,19,3.17,7.46,13.33,79.21,78.81,16
2026-01-01,19,2.22,14.47,-0.43,85.96,84.88,16
2026-01-01,19,2.42,8.58,5.93,85.49,85.39,16
2026-01-01,20,2.39,10.89,2.92,86.19,85.56,16
2026-01-01,20,1.8,3.77,10.0,86.23,84.71,16
2026-01-01,20,0.83,6.99,-1.89,94.9,93.22,16
2026-01-01,20,3.5,19.14,1.14,79.72,78.72,16
2026-01-01,20,3.05,15.35,1.15,83.5,82.81,16
2026-01-01,20,2.56,13.47,0.16,86.37,86.08,16
2026-01-01,20,3.6,6.69,16.32,76.99,76.51,16
2026-01-01,21,3.65,19.68,4.42,75.9,74.93,16
2026-01-01,21,1.09,4.03,3.43,92.54,91.88,16
2026-01-01,21,0.78,17.01,-11.22,94.21,94.11,16
2026-01-01,21,3.24,19.51,5.19,75.3,74.76,16
2026-01-01,21,3.06,16.38,5.28,78.34,78.32,16
2026-01-01,21,1.67,12.97,-3.72,90.75,89.94,16
2026-01-01,22,4.02,16.41,7.77,75.82,75.48,16
2026-01-01,22,3.75,19.79,3.28,76.93,76.91,16
2026-01-01,22,1.37,17.73,-7.69,89.96,88.36,16
2026-01-01,22,2.71,13.01,8.03,78.96,78.63,16
2026-01-01,22,3.16,10.16,13.21,76.63,75.29,16
2026-01-01,22,4.72,9.15,19.26,71.59,70.8,16
2026-01-01,22,3.26,13.46,5.24,81.3,80.03,16
2026-01-01,23,1.23,8.13,-0.85,92.72,92.09,16
2026-01-01,23,4.54,17.4,11.82,70.78,70.78,16
2026-01-01,23,5.07,10.54,16.76,72.7,72.28,16
2026-01-01,23,3.69,5.15,16.8,78.05,76.72,16
2026-01-01,23,2.56,9.48,5.89,84.63,84.14,16
2026-01-01,23,4.05,10.31,12.32,77.37,76.6,16
2026-01-01,23,4.43,17.92,9.22,72.86,72.36,16
2026-01-02,0,1.29,18.1,-9.74,91.64,90.6,16
2026-01-02,0,1.38,15.4,-6.09,90.69,89.6,16
2026-01-02,0,3.82,19.21,2.98,77.81,76.65,16
2026-01-02,0,2.82,4.45,13.69,81.86,80.37,16
2026-01-02,0,1.5,5.21,6.18,88.61,87.5,16
2026-01-02,0,0.94,14.39,-8.31,93.92,93.1,16
2026-01-02,0,1.52,10.19,-2.03,91.84,91.73,16
2026-01-02,1,3.87,8.31,20.4,71.29,70.27,16
2026-01-02,1,3.15,11.2,6.11,82.69,81.29,16
2026-01-02,1,3.1,4.95,16.3,78.75,78.05,16
2026-01-02,1,4.31,12.54,11.81,75.65,74.79,16
2026-01-02,1,2.41,12.46,2.0,85.54,84.98,16
2026-01-02,1,1.97,3.49,10.06,86.45,85.92,16
2026-01-02,1,1.53,8.97,1.97,89.06,88.92,16
2026-01-02,2,4.63,4.18,22.24,73.58,73.08,16
2026-01-02,2,0.87,12.02,-6.32,94.3,92.59,16
2026-01-02,2,2.78,8.3,10.36,81.34,79.97,16
2026-01-02,2,0.89,18.02,-11.56,93.54,92.78,16
2026-01-02,2,1.74,4.39,6.75,88.86,87.17,16
2026-01-02,2,2.75,10.04,9.36,80.6,79.97,16
2026-01-02,2,2.95,4.89,12.3,82.81,81.73,16
2026-01-02,3,2.16,8.24,6.93,84.83,84.03,16
2026-01-02,3,1.02,6.48,-1.09,94.61,92.82,16
2026-01-02,3,1.47,7.92,2.9,89.18,88.76,16
2026-01-02,3,2.85,5.2,12.37,82.43,81.49,16
2026-01-02,3,3.65,14.36,9.89,75.75,75.08,16
2026-01-02,3,3.16,10.42,9.65,79.93,79.52,16
2026-01-02,3,4.32,10.3,17.75,71.95,70.96,16
2026-01-02,4,2.66,9.89,4.11,86.0,84.78,16
2026-01-02,4,4.42,10.82,14.88,74.3,74.22,16
2026-01-02,4,3.27,4.8,16.15,79.05,78.16,16
2026-01-02,4,3.51,17.8,2.19,80.01,78.54,16
2026-01-02,4,4.12,4.3,20.16,75.54,75.21,16
2026-01-02,4,2.52,16.2,0.53,83.27,81.93,16
2026-01-02,4,0.81,5.51,0.53,93.96,93.29,16
2026-01-02,5,4.17,5.6,18.0,76.4,75.14,16
2026-01-02,5,4.43,13.68,14.44,71.88,71.81,16
2026-01-02,5,2.93,14.58,1.33,84.09,83.38,16
2026-01-02,5,2.65,8.49,5.44,86.07,86.05,16
2026-01-02,5,3.72,10.97,11.13,77.9,77.03,16
2026-01-02,5,1.34,8.98,1.11,89.91,89.18,16
2026-01-02,5,2.7,9.27,9.19,81.54,79.97,16
2026-01-02,6,2.3,4.54,9.34,86.12,86.08,16
2026-01-02,6,3.57,19.22,1.17,79.61,78.94,16
2026-01-02,6,4.06,12.72,16.25,71.03,70.9,16
2026-01-02,6,2.33,19.28,-4.41,85.13,84.28,16
2026-01-02,6,1.3,19.7,-9.97,90.27,89.98,16
2026-01-02,6,2.65,15.03,-1.18,86.15,84.49,16
2026-01-02,6,3.16,9.19,7.71,83.1,82.45,16
2026-01-02,7,2.67,14.54,5.77,79.69,79.33,16
2026-01-02,7,2.33,8.6,5.63,85.77,84.63,16
2026-01-02,7,3.86,17.48,2.86,79.66,78.47,16
2026-01-02,7,2.55,4.39,10.54,85.07,83.62,16
2026-01-02,7,1.21,14.15,-7.07,92.92,91.64,16
2026-01-02,7,4.39,4.44,22.34,73.22,72.79,16
2026-01-02,8,2.41,5.17,8.74,86.09,84.93,16
2026-01-02,8,0.85,18.51,-12.19,93.68,93.67,16
2026-01-02,8,1.96,3.31,9.93,86.76,85.91,16
2026-01-02,8,0.87,16.02,-9.8,93.78,92.55,16
2026-01-02,8,0.89,8.03,-3.03,95.0,93.39,16
2026-01-02,8,2.8,15.56,1.75,82.69,81.93,16
2026-01-02,8,2.24,13.51,-0.06,86.55,86.34,16
2026-01-02,9,4.39,14.78,11.36,73.86,72.65,16
2026-01-02,9,1.12,3.74,3.69,92.57,92.05,16
2026-01-02,9,2.12,13.38,-1.37,87.99,87.94,16
2026-01-02,9,1.97,7.07,3.33,89.6,88.23,16
2026-01-02,9,1.78,6.3,4.09,89.61,89.44,16
2026-01-02,9,2.8,16.08,-0.34,84.26,83.32,16
2026-01-02,9,2.45,5.75,11.68,82.57,81.61,16
2026-01-02,10,2.36,3.89,10.99,85.12,84.9,16
2026-01-02,10,3.34,15.09,5.63,79.28,79.18,16
2026-01-02,10,4.21,5.73,21.15,73.12,71.78,16
2026-01-02,10,3.2,4.56,12.61,82.83,82.55,16
2026-01-02,10,1.48,18.82,-9.24,90.42,90.21,16
2026-01-02,10,2.68,9.56,10.53,79.91,78.91,16
2026-01-02,10,4.24,4.68,19.71,75.61,74.58,16
2026-01-02,11,4.04,3.65,17.97,78.38,77.04,16
2026-01-02,11,2.87,15.9,2.29,81.81,81.53,16
2026-01-02,11,2.07,3.32,11.3,85.38,85.22,16
2026-01-02,11,4.07,13.35,12.91,73.74,73.65,16
2026-01-02,11,1.52,5.07,5.53,89.4,88.04,16
2026-01-02,11,2.55,4.07,9.96,85.97,85.32,16
2026-01-02,11,2.88,13.74,3.76,82.5,81.73,16
2026-01-02,12,1.81,3.03,9.01,87.96,86.71,16
2026-01-02,12,2.54,14.36,1.37,84.27,82.9,16
2026-01-02,12,3.74,12.25,8.73,79.02,78.95,16
2026-01-02,12,2.26,17.85,-0.54,82.69,81.07,16
2026-01-02,12,3.07,15.7,4.63,79.67,78.67,16
2026-01-02,12,3.81,14.17,14.14,71.69,70.6,16
2026-01-02,12,2.33,5.27,10.18,84.55,84.14,16
2026-01-02,13,3.7,17.12,4.42,78.46,77.9,16
2026-01-02,13,0.75,6.1,-0.62,94.52,93.53,16
2026-01-02,13,1.7,3.63,8.47,87.9,87.8,16
2026-01-02,13,1.51,8.37,1.85,89.78,89.57,16
2026-01-02,13,2.61,11.05,8.99,79.96,79.66,16
2026-01-02,13,1.81,17.66,-3.83,86.17,84.94,16
2026-01-02,13,2.12,16.59,-2.98,86.39,85.13,16
2026-01-02,14,2.99,19.26,0.74,80.0,79.1,16
2026-01-02,14,4.53,9.24,16.09,74.67,74.21,16
2026-01-02,14,3.63,10.22,13.11,76.67,75.26,16
2026-01-02,14,0.69,7.99,-2.87,94.88,93.32,16
2026-01-02,14,3.79,10.58,11.22,78.2,77.1,16
2026-01-02,14,4.51,10.6,15.23,74.17,73.35,16
2026-01-02,14,1.22,10.39,-3.18,92.79,92.08,16
2026-01-02,15,1.57,14.41,-4.2,89.79,88.1,16
2026-01-02,15,2.23,5.72,11.45,82.83,82.42,16
2026-01-02,15,1.19,10.45,-1.67,91.22,90.63,16
2026-01-02,15,4.55,9.16,14.94,75.9,75.36,16
2026-01-02,15,4.43,10.65,18.54,70.81,69.61,16
2026-01-02,15,2.86,5.34,13.56,81.1,79.6,16
2026-01-02,15,2.87,19.33,2.81,77.86,76.74,16
2026-01-02,16,3.44,18.53,6.82,74.65,73.93,16
2026-01-02,16,1.78,6.65,3.98,89.37,88.84,16
2026-01-02,16,1.73,6.4,6.25,87.35,87.35,16
2026-01-02,16,5.4,15.13,13.02,71.85,70.66,16
2026-01-02,16,1.66,19.77,-10.03,90.26,90.2,16
2026-01-02,16,1.8,7.94,4.32,87.74,86.95,16
2026-01-02,16,3.63,14.9,11.16,73.94,73.51,16
2026-01-02,17,3.75,19.75,1.21,79.04,77.81,16
2026-01-02,17,3.96,9.14,14.94,75.92,75.15,16
2026-01-02,17,3.38,5.21,13.1,81.69,81.66,16
2026-01-02,17,4.5,15.19,13.17,71.64,70.78,16
2026-01-02,17,2.68,12.77,6.96,80.27,79.32,16
2026-01-02,17,3.56,10.92,11.15,77.93,76.49,16
2026-01-02,17,4.44,12.37,14.42,73.21,72.96,16
2026-01-02,18,1.98,11.55,-0.74,89.19,87.64,16
2026-01-02,18,1.28,8.17,1.05,90.78,89.91,16
2026-01-02,18,1.07,19.11,-12.48,93.37,91.92,16
2026-01-02,18,4.33,6.34,16.56,77.1,75.68,16
2026-01-02,18,3.1,13.45,9.69,76.86,76.28,16
2026-01-02,18,1.94,12.87,1.11,86.02,85.32,16
2026-01-02,19,2.69,8.74,5.65,85.61,85.44,16
2026-01-02,19,5.47,4.38,24.59,71.03,70.84,16
2026-01-02,19,1.76,6.58,4.14,89.28,87.97,16
2026-01-02,19,2.37,18.11,-3.56,85.45,83.79,16
2026-01-02,19,2.51,7.16,6.79,86.05,84.85,16
2026-01-02,19,2.74,14.71,5.14,80.15,79.27,16
2026-01-02,19,2.69,8.78,10.83,80.39,79.53,16
2026-01-02,20,1.27,19.8,-11.34,91.54,90.29,16
2026-01-02,20,2.7,11.75,8.28,79.97,79.59,16
2026-01-02,20,3.28,10.64,13.32,76.04,74.71,16
2026-01-02,20,4.45,17.69,11.04,71.27,71.19,16
2026-01-02,20,1.11,16.83,-10.9,94.07,93.89,16
2026-01-02,20,2.3,5.71,6.26,88.03,86.6,16
2026-01-02,20,2.45,11.46,6.87,81.67,81.47,16
2026-01-02,21,3.33,7.09,13.08,79.83,78.96,16
2026-01-02,21,5.24,13.16,15.62,71.22,70.2,16
2026-01-02,21,1.78,3.14,10.05,86.81,85.57,16
2026-01-02,21,4.1,9.22,17.43,73.35,72.27,16
2026-01-02,21,4.37,12.55,16.32,71.13,69.78,16
2026-01-02,21,3.72,10.66,12.12,77.22,76.27,16
2026-01-02,21,1.28,13.39,-4.02,90.63,89.95,16
2026-01-02,22,4.51,19.78,7.8,72.42,71.51,16
2026-01-02,22,3.21,13.24,7.62,79.14,77.79,16
2026-01-02,22,5.2,15.13,13.86,71.01,69.65,16
2026-01-02,22,2.33,18.18,-1.16,82.98,81.57,16
2026-01-02,22,1.13,9.68,-2.96,93.28,92.01,16
2026-01-02,22,1.43,11.62,-2.69,91.07,90.33,16
2026-01-02,22,2.29,11.07,6.68,82.25,81.53,16
2026-01-02,23,3.21,10.08,11.64,78.28,76.89,16
2026-01-02,23,1.25,13.7,-6.17,92.47,92.23,16
2026-01-02,23,3.85,19.52,3.84,76.64,76.11,16
2026-01-02,23,3.93,11.17,13.14,75.69,74.25,16
2026-01-02,23,2.16,9.46,2.51,88.03,87.63,16
2026-01-02,23,3.36,14.91,9.04,76.05,75.4,16
2026-01-02,23,2.68,10.02,8.95,81.03,80.09,16
2026-01-03,0,3.18,11.02,6.43,82.55,81.91,16
2026-01-03,0,1.94,11.82,-0.01,88.19,87.67,16
2026-01-03,0,0.96,9.41,-4.36,94.95,93.96,16
2026-01-03,0,3.17,12.29,6.22,81.49,80.73,16
2026-01-03,0,1.2,16.66,-8.35,91.69,91.1,16
2026-01-03,0,2.63,7.74,10.16,82.1,82.03,16
2026-01-03,0,1.12,16.11,-9.65,93.54,93.51,16
2026-01-03,1,2.09,11.16,1.58,87.26,86.37,16
2026-01-03,1,1.09,7.89,-1.25,93.36,92.84,16
2026-01-03,1,2.46,9.71,6.71,83.58,83.41,16
2026-01-03,1,2.02,3.72,6.95,89.33,87.81,16
2026-01-03,1,4.93,14.15,13.87,71.98,71.87,16
2026-01-03,1,4.04,7.61,17.04,75.35,75.09,16
2026-01-03,1,3.33,15.6,7.61,76.79,75.42,16
