Item,Date,Hour,Server,Category,Percentage_Used[%],Freespace[MB]
/db2/data,2026-01-01,0,prdapp03,Database Data,31.55,717750.27
/usr/sap/trans,2026-01-01,0,prdapp03,Application Server,70.5,154664.96
/usr/sap/trans,2026-01-01,0,prdapp03,Application Server,67.95,168034.3
/db2/log,2026-01-01,0,prdapp01,Database Log,71.77,74003.25
/sapmnt,2026-01-01,0,prdapp01,Application Server,44.15,146407.42
/sapmnt,2026-01-01,0,prdapp03,Application Server,35.85,168165.38
/sapmnt,2026-01-01,0,prdapp01,Application Server,36.37,166802.23
/sapmnt,2026-01-01,1,prdapp02,Application Server,60.88,102550.73
/sapmnt,2026-01-01,1,prdapp02,Application Server,59.57,105984.82
/usr/sap/trans,2026-01-01,1,prdapp01,Application Server,74.0,136314.88
/usr/sap/trans,2026-01-01,1,prdapp03,Application Server,60.23,208509.34
/db2/data,2026-01-01,1,prdapp02,Database Data,73.55,277348.35
/sapmnt,2026-01-01,1,prdapp02,Application Server,39.78,157863.12
/db2/log,2026-01-01,1,prdapp03,Database Log,72.5,72089.6
/db2/log,2026-01-01,2,prdapp01,Database Log,58.56,108632.47
/db2/data,2026-01-01,2,prdapp01,Database Data,66.93,346764.08
/usr/sap/trans,2026-01-01,2,prdapp03,Application Server,35.37,338847.33
/db2/log,2026-01-01,2,prdapp03,Database Log,64.14,94004.84
/db2/data,2026-01-01,2,prdapp03,Database Data,72.11,292447.85
/db2/data,2026-01-01,2,prdapp02,Database Data,30.48,728970.04
/db2/log,2026-01-01,2,prdapp01,Database Log,59.08,107269.32
/sapmnt,2026-01-01,3,prdapp03,Application Server,51.06,128293.27
/usr/sap/trans,2026-01-01,3,prdapp03,Application Server,48.72,268854.89
/db2/data,2026-01-01,3,prdapp02,Database Data,35.13,680211.25
/sapmnt,2026-01-01,3,prdapp02,Application Server,33.97,173093.68
/usr/sap/trans,2026-01-01,3,prdapp03,Application Server,66.33,176527.77
/db2/log,2026-01-01,3,prdapp03,Database Log,46.02,141505.33
/db2/log,2026-01-01,3,prdapp02,Database Log,42.51,150706.59
/db2/log,2026-01-01,4,prdapp03,Database Log,31.24,180250.21
/db2/data,2026-01-01,4,prdapp01,Database Data,31.75,715653.12
/db2/log,2026-01-01,4,prdapp01,Database Log,37.11,164862.36
/usr/sap/trans,2026-01-01,4,prdapp02,Application Server,34.37,344090.21
/sapmnt,2026-01-01,4,prdapp02,Application Server,60.29,104097.38
/usr/sap/trans,2026-01-01,4,prdapp01,Application Server,37.78,326211.99
/db2/log,2026-01-01,4,prdapp01,Database Log,51.13,128109.77
/usr/sap/trans,2026-01-01,5,prdapp02,Application Server,43.66,295383.86
/usr/sap/trans,2026-01-01,5,prdapp02,Application Server,44.17,292709.99
/db2/data,2026-01-01,5,prdapp02,Database Data,49.9,525336.58
/sapmnt,2026-01-01,5,prdapp02,Application Server,53.49,121923.17
/sapmnt,2026-01-01,5,prdapp01,Application Server,55.8,115867.65
/db2/log,2026-01-01,5,prdapp01,Database Log,57.49,111437.41
/db2/data,2026-01-01,5,prdapp03,Database Data,66.5,351272.96
