Date [Sys,Time [Sys,Applicatio,User,Client ID,Keep,Runtime I,Exception,Canceled,Index of W,Transacti
2026-01-01,01:10:29,prdapp03_PRD_00,DDIC,200,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,11,RFC
2026-01-01,09:38:24,prdapp03_PRD_00,MM_USER,300,No,SYSTEM_ENQUE_FAILURE,None,SAPLSENQ,15,SM12
2026-01-01,10:24:46,prdapp02_PRD_00,FI_USER,100,No,MESSAGE_TYPE_X,None,SAPLBTCH,10,VA01
2026-01-01,12:49:48,prdapp01_PRD_00,MM_USER,100,No,CX_SY_OPEN_SQL_DB,CX_SY_OPEN_SQL_DB,SAPLDBDI,19,SE38
2026-01-01,13:00:43,prdapp03_PRD_00,RFC_USER,300,No,MEMORY_NO_MORE_PAGING,None,SAPMSSY0,5,SE38
2026-01-01,13:35:36,prdapp01_PRD_00,BATCHUSR,200,No,DBSQL_NO_MORE_CONNECTION,CX_SY_OPEN_SQL_DB,SAPLDBDI,16,SM50
2026-01-01,17:49:08,prdapp03_PRD_00,BATCHUSR,300,No,SYSTEM_MSG_SERVER_LOST,None,SAPMSSY0,12,SM50
2026-01-01,19:51:42,prdapp02_PRD_00,MM_USER,300,No,CALL_FUNCTION_SINGLE_LOGIN_REJ,CX_SY_RFC_ERROR,SAPMSSY1,18,RFC
2026-01-01,20:34:42,prdapp01_PRD_00,ALEREMOTE,300,No,TSV_TNEW_PAGE_ALLOC_FAILED,CX_SY_RESOURCES,SAPLKKBL,6,SM37
2026-01-01,20:48:09,prdapp03_PRD_00,RFC_USER,200,No,ENQUE_TABLE_FULL,None,SAPLSENQ,12,SM12
2026-01-01,23:19:55,prdapp03_PRD_00,SAPSYS,100,No,CALL_FUNCTION_SINGLE_LOGIN_REJ,CX_SY_RFC_ERROR,SAPMSSY1,15,RFC
2026-01-02,02:02:24,prdapp03_PRD_00,MM_USER,200,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,8,RFC
2026-01-02,02:02:53,prdapp03_PRD_00,MM_USER,100,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,19,RFC
2026-01-02,02:03:08,prdapp01_PRD_00,MM_USER,100,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,6,RFC
2026-01-02,02:03:22,prdapp01_PRD_00,MM_USER,200,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,14,RFC
2026-01-02,02:04:02,prdapp02_PRD_00,BATCHUSR,100,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,7,RFC
2026-01-02,02:04:22,prdapp03_PRD_00,BATCHUSR,200,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,3,RFC
2026-01-02,02:05:41,prdapp02_PRD_00,FI_USER,200,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,18,RFC
2026-01-02,02:05:58,prdapp02_PRD_00,ADMIN,100,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,8,RFC
2026-01-02,02:06:25,prdapp02_PRD_00,RFC_USER,200,No,CALL_FUNCTION_REMOTE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,10,RFC
2026-01-02,02:07:38,prdapp02_PRD_00,RFC_USER,100,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,2,RFC
2026-01-02,02:07:56,prdapp03_PRD_00,ALEREMOTE,200,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,14,RFC
2026-01-02,02:08:06,prdapp03_PRD_00,BATCHUSR,100,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,8,RFC
2026-01-02,02:08:21,prdapp01_PRD_00,ALEREMOTE,200,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,18,RFC
2026-01-02,02:09:00,prdapp02_PRD_00,FI_USER,100,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,18,RFC
2026-01-02,02:09:16,prdapp03_PRD_00,ADMIN,200,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,17,RFC
2026-01-02,02:10:15,prdapp03_PRD_00,FI_USER,200,No,CALL_FUNCTION_RECEIVE_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,9,RFC
2026-01-02,02:10:29,prdapp03_PRD_00,DDIC,100,No,CALL_FUNCTION_SEND_ERROR,CX_SY_RFC_ERROR,SAPMSSY1,6,RFC
2026-01-02,02:10:55,prdapp01_PRD_00,MM_USER,300,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,0,RFC
2026-01-02,02:11:12,prdapp02_PRD_00,ADMIN,300,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,20,RFC
2026-01-02,02:13:01,prdapp03_PRD_00,SAPSYS,200,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,10,RFC
2026-01-02,02:13:12,prdapp01_PRD_00,ALEREMOTE,200,No,CALL_FUNCTION_NO_RECEIVER,CX_SY_RFC_ERROR,SAPMSSY0,9,RFC
